+------------------------------------------------------------------------------------+
            Cipher Name: ChaCha
            PNB search in conventional way                                           
            # of total rounds: 7
            # of forward rounds: 4        
            ID = (13, 6), OD = (2, 0)⊕(7, 7)⊕(8, 0)                                  
            Neutrality Measure: 0.25      
            Total samples : 2^{20}                                                   
+------------------------------------------------------------------------------------+
The file contains the detailed PNBs from the file 461313_06012024_convt_0.25_pnbs_ChaCha_7_id_13_6.txt

****************************** Keyword: 0 *********************************************
*************** PNBs (6) ***************
bias of 14 ~ 0.408276
bias of 6 ~ 0.252821
bias of 5 ~ 0.436693
bias of 4 ~ 0.605860
bias of 3 ~ 0.738209
bias of 2 ~ 0.838436
*************** Non-PNBs (26) ***************
bias of 31 ~ 0.247837
bias of 28 ~ 0.002289
bias of 27 ~ 0.033728
bias of 26 ~ 0.134138
bias of 25 ~ 0.000257
bias of 24 ~ 0.001080
bias of 23 ~ 0.016724
bias of 22 ~ 0.076267
bias of 21 ~ 0.000164
bias of 20 ~ 0.016058
bias of 19 ~ 0.097021
bias of 29 ~ 0.001076
bias of 0 ~ 0.014990
bias of 13 ~ 0.001226
bias of 30 ~ -0.000978
bias of 1 ~ -0.000565
bias of 7 ~ 0.089830
bias of 8 ~ 0.011003
bias of 9 ~ 0.000334
bias of 10 ~ 0.116053
bias of 11 ~ 0.034664
bias of 12 ~ 0.003633
bias of 15 ~ 0.228098
bias of 16 ~ 0.084703
bias of 17 ~ 0.012281
bias of 18 ~ -0.000685
*------------------------------------------------------------------------------------*
****************************** Keyword: 1 *********************************************
*************** PNBs (6) ***************
bias of 59 ~ 0.257528
bias of 51 ~ 0.412739
bias of 49 ~ 0.308344
bias of 48 ~ 0.590454
bias of 47 ~ 0.773041
bias of 39 ~ 0.377121
*************** Non-PNBs (26) ***************
bias of 60 ~ 0.099745
bias of 58 ~ -0.000374
bias of 57 ~ -0.001282
bias of 56 ~ 0.001621
bias of 55 ~ 0.017921
bias of 54 ~ 0.003750
bias of 53 ~ 0.066412
bias of 52 ~ 0.218197
bias of 50 ~ 0.020416
bias of 46 ~ -0.000168
bias of 61 ~ 0.014845
bias of 32 ~ -0.000118
bias of 45 ~ -0.001087
bias of 62 ~ 0.000017
bias of 33 ~ 0.114601
bias of 63 ~ 0.001280
bias of 34 ~ 0.009838
bias of 35 ~ 0.109713
bias of 36 ~ 0.015787
bias of 37 ~ -0.000294
bias of 38 ~ 0.025253
bias of 40 ~ 0.175669
bias of 41 ~ 0.036207
bias of 42 ~ -0.000525
bias of 43 ~ 0.073395
bias of 44 ~ 0.009256
*------------------------------------------------------------------------------------*
****************************** Keyword: 2 *********************************************
*************** PNBs (24) ***************
bias of 91 ~ 0.449436
bias of 90 ~ 0.642397
bias of 87 ~ 0.521355
bias of 86 ~ 0.737398
bias of 85 ~ 0.861755
bias of 84 ~ 0.928905
bias of 83 ~ 0.963005
bias of 82 ~ 0.981276
bias of 81 ~ 0.990322
bias of 80 ~ 0.995153
bias of 95 ~ 0.561819
bias of 66 ~ 0.998060
bias of 79 ~ 0.997519
bias of 67 ~ 0.996098
bias of 68 ~ 0.992273
bias of 69 ~ 0.984568
bias of 70 ~ 0.969316
bias of 71 ~ 0.938446
bias of 72 ~ 0.878521
bias of 73 ~ 0.766840
bias of 74 ~ 0.563656
bias of 75 ~ 0.250278
bias of 77 ~ 0.999386
bias of 78 ~ 0.998833
*************** Non-PNBs (8) ***************
bias of 94 ~ -0.000889
bias of 93 ~ 0.056664
bias of 92 ~ 0.229929
bias of 88 ~ 0.201982
bias of 89 ~ 0.007929
bias of 76 ~ -0.001413
bias of 65 ~ 0.001814
bias of 64 ~ 0.061886
*------------------------------------------------------------------------------------*
****************************** Keyword: 3 *********************************************
*************** PNBs (17) ***************
bias of 127 ~ 0.672289
bias of 126 ~ 0.750277
bias of 125 ~ 0.826916
bias of 124 ~ 0.889822
bias of 102 ~ 0.989267
bias of 115 ~ 0.435749
bias of 103 ~ 0.978115
bias of 104 ~ 0.962282
bias of 105 ~ 0.937428
bias of 106 ~ 0.896559
bias of 119 ~ 0.267937
bias of 107 ~ 0.833483
bias of 108 ~ 0.738258
bias of 109 ~ 0.607695
bias of 110 ~ 0.443296
bias of 123 ~ 0.932365
bias of 111 ~ 0.264181
*************** Non-PNBs (15) ***************
bias of 122 ~ -0.000755
bias of 121 ~ 0.016449
bias of 96 ~ 0.190332
bias of 97 ~ 0.041557
bias of 98 ~ 0.000784
bias of 99 ~ 0.109505
bias of 112 ~ 0.105686
bias of 100 ~ 0.016016
bias of 113 ~ 0.015465
bias of 101 ~ 0.000429
bias of 114 ~ -0.000801
bias of 116 ~ 0.223557
bias of 117 ~ 0.054911
bias of 118 ~ -0.000313
bias of 120 ~ 0.108955
*------------------------------------------------------------------------------------*
****************************** Keyword: 4 *********************************************
